1. Max Holmes, Nasiah Wanganeen-Milera, Mitch Owens, Tom Atkins
747. Tom Stewart, Lawson Humphries, Brad Close, Jay Polkinghorne
748. Oisin Mullin, Lawson Humphries, Liam Stocker, Brad Close
749. Sam De Koning, Mark O'Connor, Bailey Smith, Liam Stocker
750. Nasiah Wanganeen-Milera, Connor O'Sullivan, Darcy Wilson, Shannon Neale
751. Tom Stewart, Bradley Hill, Anthony Caminiti, Callum Wilkie
752. Marcus Windhager, Jhye Clark, Tom Atkins, Mattaes Phillipou
753. Connor O'Sullivan, Anthony Caminiti, Jhye Clark, Jack Henry
754. Max Hall, Oliver Dempsey, Darcy Wilson, Hunter Clark
755. Oliver Dempsey, Patrick Dangerfield, Shannon Neale, Callum Wilkie
756. Lawson Humphries, Callum Wilkie, Jhye Clark, Campbell Lake
757. Connor O'Sullivan, Sam De Koning, Mark O'Connor, Bradley Hill
758. Mason Wood, Max Hall, Bailey Smith, James Worpel
759. Oliver Dempsey, Gryan Miers, Tom Atkins, Mattaes Phillipou
760. Mitch Owens, Liam O'Connell, Jay Polkinghorne, Campbell Lake
761. Connor O'Sullivan, Mark O'Connor, Lawson Humphries, Shannon Neale
762. Zach Guthrie, Jack Higgins, Jhye Clark, Hunter Clark
763. Nasiah Wanganeen-Milera, Brad Close, Anthony Caminiti, Liam Henry
764. Tom Stewart, Patrick Dangerfield, Anthony Caminiti, Tobie Travaglia
765. Nasiah Wanganeen-Milera, Zach Guthrie, Liam Ryan, Campbell Lake
766. Oisin Mullin, Gryan Miers, Brad Close, Anthony Caminiti
767. Max Holmes, Connor O'Sullivan, Oliver Dempsey, Marcus Windhager
768. Hugo Garcia, Brad Close, Shannon Neale, Callum Wilkie
769. Mitch Owens, Sam De Koning, Patrick Dangerfield, Campbell Lake
770. Max Holmes, Connor O'Sullivan, Cooper Sharman, Mason Wood
771. Jack Higgins, Marcus Windhager, Gryan Miers, Mattaes Phillipou
772. Hugo Garcia, Liam O'Connell, Patrick Dangerfield, Anthony Caminiti
773. Hugo Garcia, Shaun Mannagh, Callum Wilkie, Tobie Travaglia
774. Oisin Mullin, Max Hall, Darcy Wilson, Campbell Lake
775. Max Hall, Shannon Neale, Liam Henry, Jack Henry
776. Tom Stewart, Mitch Owens, Hunter Clark, Campbell Lake
777. Darcy Wilson, Ryan Byrnes, Shaun Mannagh, Mattaes Phillipou
778. Lawson Humphries, Oliver Wiltshire, Bradley Hill, Callum Wilkie
779. Gryan Miers, Brad Close, Callum Wilkie, Tobie Travaglia
780. Tom Stewart, Sam De Koning, Ryan Byrnes, Callum Wilkie
781. Rowan Marshall, Shaun Mannagh, Patrick Dangerfield, Tom Atkins
782. Hugo Garcia, Anthony Caminiti, Jack Henry, Oliver Henry
783. Tom Stewart, Oliver Dempsey, Liam O'Connell, Marcus Windhager
784. Oisin Mullin, Marcus Windhager, Oliver Wiltshire, Liam Henry
785. Connor O'Sullivan, Bailey Smith, Darcy Wilson, Hunter Clark
786. Hugo Garcia, Liam Ryan, Liam Stocker, Mattaes Phillipou
787. Tom Stewart, Darcy Wilson, Liam Stocker, Jack Henry
788. Mitchell Edwards, Nasiah Wanganeen-Milera, Sam De Koning, Hunter Clark
789. Jack Higgins, Liam O'Connell, Shannon Neale, Jay Polkinghorne
790. Max Holmes, Sam De Koning, Jack Silvagni, Mattaes Phillipou
791. Tom Stewart, Mitch Owens, Mason Wood, Oliver Dempsey
792. Mitchell Edwards, Marcus Windhager, Darcy Wilson, Jack Henry
793. Rowan Marshall, Max Holmes, Nasiah Wanganeen-Milera, Shaun Mannagh
794. Oliver Dempsey, Bradley Hill, Hunter Clark, Campbell Lake
795. Tom Stewart, Liam Ryan, Marcus Windhager, Bradley Hill
796. Max Holmes, Sam De Koning, Bradley Hill, Hunter Clark
797. Mark O'Connor, Oliver Dempsey, Patrick Dangerfield, Jhye Clark
798. Rowan Marshall, Patrick Dangerfield, Shannon Neale, Tobie Travaglia
799. Mitchell Edwards, Oisin Mullin, Bailey Smith, Anthony Caminiti
800. Bailey Smith, Tom Atkins, James Worpel, Mattaes Phillipou
801. Tom Stewart, Mason Wood, Lawson Humphries, Hunter Clark
802. Max Hall, Liam Ryan, Patrick Dangerfield, Jack Silvagni
803. Max Hall, Darcy Wilson, Ryan Byrnes, Mattaes Phillipou
804. Mason Wood, Gryan Miers, James Worpel, Mattaes Phillipou
805. Mitch Owens, Tom Atkins, Hunter Clark, James Worpel
806. Hugo Garcia, Oliver Dempsey, Oliver Henry, Campbell Lake
807. Mitchell Edwards, Brad Close, Jhye Clark, James Worpel
808. Nasiah Wanganeen-Milera, Zach Guthrie, Liam Stocker, Campbell Lake
809. Max Hall, Oliver Wiltshire, Gryan Miers, Jack Silvagni
810. Max Holmes, Tom Stewart, Mitch Owens, Bailey Smith
811. Rowan Marshall, Nasiah Wanganeen-Milera, Lawson Humphries, Liam Stocker
812. Sam De Koning, Zach Guthrie, Liam O'Connell, Campbell Lake
813. Mark O'Connor, Liam O'Connell, Gryan Miers, Oliver Henry
814. Rowan Marshall, Connor O'Sullivan, Darcy Wilson, Callum Wilkie
815. Marcus Windhager, Ryan Byrnes, Liam Stocker, Jack Henry
816. Mitchell Edwards, Jack Silvagni, Hunter Clark, Oliver Henry
817. Max Holmes, Mattaes Phillipou, Oliver Henry, Campbell Lake
818. Max Holmes, Bradley Hill, Anthony Caminiti, Callum Wilkie
819. Liam O'Connell, Brad Close, Liam Henry, Jack Henry
820. Tom Stewart, Ryan Byrnes, Brad Close, Jhye Clark
821. Rowan Marshall, Max Hall, Brad Close, Tobie Travaglia
822. Nasiah Wanganeen-Milera, Sam De Koning, Shaun Mannagh, Brad Close
823. Max Holmes, Mitch Owens, Marcus Windhager, Jay Polkinghorne
824. Liam O'Connell, Oliver Wiltshire, Liam Stocker, Patrick Dangerfield
825. Sam De Koning, Darcy Wilson, Shaun Mannagh, Bradley Hill
826. Shaun Mannagh, Anthony Caminiti, Mattaes Phillipou, Oliver Henry
827. Gryan Miers, Liam Stocker, Patrick Dangerfield, Tom Atkins
828. Anthony Caminiti, Tobie Travaglia, James Worpel, Jack Henry
829. Oisin Mullin, Liam O'Connell, Brad Close, Bradley Hill
830. Lawson Humphries, Bailey Smith, Brad Close, Tobie Travaglia
831. Cooper Sharman, Mark O'Connor, Callum Wilkie, James Worpel
832. Zach Guthrie, Liam Ryan, Patrick Dangerfield, Campbell Lake
833. Mason Wood, Brad Close, Callum Wilkie, Hunter Clark
834. Tom Stewart, Oliver Dempsey, Jay Polkinghorne, Liam Henry
835. Oliver Wiltshire, Tom Atkins, Hunter Clark, Oliver Henry
836. Mason Wood, Liam Ryan, Liam O'Connell, Tobie Travaglia
837. Tom Stewart, Liam Stocker, Jay Polkinghorne, Jhye Clark
838. Bailey Smith, Gryan Miers, Brad Close, Hunter Clark
839. Jay Polkinghorne, Tobie Travaglia, Oliver Henry, Campbell Lake
840. Rowan Marshall, Hugo Garcia, Liam Stocker, Jay Polkinghorne
841. Liam Stocker, Shannon Neale, Tom Atkins, Hunter Clark
842. Rowan Marshall, Gryan Miers, Shannon Neale, Callum Wilkie
843. Oisin Mullin, Cooper Sharman, Bailey Smith, Liam Henry
844. Oisin Mullin, Sam De Koning, Jack Silvagni, Hunter Clark
845. Nasiah Wanganeen-Milera, Bailey Smith, Patrick Dangerfield, Anthony Caminiti
846. Rowan Marshall, Mason Wood, Liam Stocker, Anthony Caminiti
847. Hugo Garcia, Nasiah Wanganeen-Milera, Ryan Byrnes, Shannon Neale
848. Nasiah Wanganeen-Milera, Mitch Owens, Mark O'Connor, Anthony Caminiti
849. Hugo Garcia, Zach Guthrie, Darcy Wilson, Jack Henry
850. Oliver Dempsey, Liam Stocker, Patrick Dangerfield, Callum Wilkie
851. Rowan Marshall, Cooper Sharman, Sam De Koning, Gryan Miers
852. Hugo Garcia, Nasiah Wanganeen-Milera, Liam O'Connell, Patrick Dangerfield
853. Mitchell Edwards, Rowan Marshall, Darcy Wilson, Shannon Neale
854. Sam De Koning, Lawson Humphries, Shannon Neale, Mattaes Phillipou
855. Zach Guthrie, Liam Ryan, Patrick Dangerfield, Jack Henry
856. Darcy Wilson, Jay Polkinghorne, Jhye Clark, Liam Henry
857. Max Hall, Lawson Humphries, Jack Higgins, Tobie Travaglia
858. Tom Stewart, Mark O'Connor, Shannon Neale, Jhye Clark
859. Mitchell Edwards, Zach Guthrie, Shaun Mannagh, Hunter Clark
860. Oisin Mullin, Ryan Byrnes, Anthony Caminiti, Jack Henry
861. Tom Stewart, Max Hall, Liam Ryan, Anthony Caminiti
862. Tom Stewart, Sam De Koning, Marcus Windhager, Campbell Lake
863. Zach Guthrie, Oliver Dempsey, Bailey Smith, Liam Stocker
864. Rowan Marshall, Mitch Owens, Liam O'Connell, Shannon Neale
865. Oisin Mullin, Brad Close, Jhye Clark, Tobie Travaglia
866. Nasiah Wanganeen-Milera, Bailey Smith, Brad Close, Tom Atkins
867. Darcy Wilson, Ryan Byrnes, Bradley Hill, Campbell Lake
868. Oisin Mullin, Nasiah Wanganeen-Milera, Shaun Mannagh, Hunter Clark
869. Mason Wood, Max Hall, Jack Higgins, Oliver Wiltshire
870. Max Holmes, Tom Stewart, Zach Guthrie, Ryan Byrnes
871. Oliver Dempsey, Liam O'Connell, Marcus Windhager, James Worpel
872. Oisin Mullin, Oliver Dempsey, Jay Polkinghorne, Mattaes Phillipou
873. Max Holmes, Brad Close, Jhye Clark, Mattaes Phillipou
874. Nasiah Wanganeen-Milera, Marcus Windhager, Brad Close, Oliver Henry
875. Max Holmes, Bailey Smith, Shaun Mannagh, Brad Close
876. Rowan Marshall, Mitch Owens, Marcus Windhager, Mattaes Phillipou
877. Rowan Marshall, Hugo Garcia, Bailey Smith, Ryan Byrnes
878. Hugo Garcia, Cooper Sharman, Sam De Koning, Marcus Windhager
879. Tom Stewart, Shannon Neale, Liam Henry, Jack Henry
880. Gryan Miers, Ryan Byrnes, Callum Wilkie, Hunter Clark
881. Bailey Smith, Ryan Byrnes, Shaun Mannagh, Jhye Clark
882. Tom Stewart, Max Hall, Bailey Smith, Bradley Hill
883. Mason Wood, Darcy Wilson, Brad Close, Jay Polkinghorne
884. Max Holmes, Cooper Sharman, Jhye Clark, Campbell Lake
885. Max Hall, Liam Ryan, Marcus Windhager, Darcy Wilson
886. Tom Stewart, Ryan Byrnes, Shannon Neale, Campbell Lake
887. Sam De Koning, Max Hall, Liam O'Connell, Marcus Windhager
888. Nasiah Wanganeen-Milera, Anthony Caminiti, Jay Polkinghorne, Tobie Travaglia
889. Mark O'Connor, Patrick Dangerfield, Callum Wilkie, Jack Henry
890. Jack Higgins, Ryan Byrnes, Hunter Clark, Mattaes Phillipou
891. Mark O'Connor, Marcus Windhager, Darcy Wilson, Shaun Mannagh
892. Mason Wood, Marcus Windhager, Tobie Travaglia, Oliver Henry
893. Rowan Marshall, Mason Wood, Oliver Dempsey, Jay Polkinghorne
894. Gryan Miers, Anthony Caminiti, Jay Polkinghorne, Jhye Clark
895. Mitchell Edwards, Lawson Humphries, Shannon Neale, Tobie Travaglia
896. Mason Wood, Jack Higgins, Marcus Windhager, Jack Henry
897. Mitch Owens, Mark O'Connor, Jack Higgins, Mattaes Phillipou
898. Ryan Byrnes, Tobie Travaglia, Tom Atkins, Jack Henry
899. Nasiah Wanganeen-Milera, Mason Wood, Shaun Mannagh, Tom Atkins
900. Mitchell Edwards, Cooper Sharman, Oliver Wiltshire, Bradley Hill
901. Rowan Marshall, Jack Higgins, Gryan Miers, Tom Atkins
902. Oisin Mullin, Oliver Wiltshire, Bradley Hill, Callum Wilkie
903. Marcus Windhager, Oliver Wiltshire, Jack Henry, Campbell Lake
904. Oliver Wiltshire, Anthony Caminiti, Jay Polkinghorne, Campbell Lake
905. Mitchell Edwards, Mitch Owens, Bailey Smith, Patrick Dangerfield
906. Nasiah Wanganeen-Milera, Ryan Byrnes, Jack Henry, Oliver Henry
907. Marcus Windhager, Gryan Miers, Liam Stocker, Bradley Hill
908. Mitchell Edwards, Jack Higgins, Oliver Dempsey, Bradley Hill
909. Hugo Garcia, Max Hall, Oliver Dempsey, Liam Stocker
910. Max Hall, Lawson Humphries, Darcy Wilson, Oliver Henry
911. Lawson Humphries, Jack Higgins, Patrick Dangerfield, Jhye Clark
912. Mason Wood, Liam Stocker, Jay Polkinghorne, Jack Silvagni
913. Tom Stewart, Connor O'Sullivan, Darcy Wilson, Patrick Dangerfield
914. Hugo Garcia, Lawson Humphries, Tom Atkins, Jack Henry
915. Oliver Wiltshire, Liam Stocker, Callum Wilkie, Tom Atkins
916. Mason Wood, Bailey Smith, Darcy Wilson, Shannon Neale
917. Mark O'Connor, Liam O'Connell, Gryan Miers, Tom Atkins
918. Rowan Marshall, Jack Higgins, Darcy Wilson, Tobie Travaglia
919. Max Hall, Lawson Humphries, Oliver Dempsey, Jhye Clark
920. Connor O'Sullivan, Zach Guthrie, Mark O'Connor, Jack Henry
921. Sam De Koning, Lawson Humphries, Bradley Hill, Liam Henry
922. Mitch Owens, Oliver Wiltshire, Gryan Miers, Anthony Caminiti
923. Mitch Owens, Max Hall, Darcy Wilson, Patrick Dangerfield
924. Rowan Marshall, James Worpel, Jack Henry, Campbell Lake
925. Hugo Garcia, Mitch Owens, Cooper Sharman, Lawson Humphries
926. Mitch Owens, Liam O'Connell, Bailey Smith, Shannon Neale
927. Sam De Koning, Liam O'Connell, Bailey Smith, Anthony Caminiti
928. Mark O'Connor, Oliver Wiltshire, Jay Polkinghorne, Jhye Clark
929. Tom Stewart, Max Hall, Lawson Humphries, Shannon Neale
930. Sam De Koning, Zach Guthrie, Jack Higgins, Anthony Caminiti
931. Oliver Dempsey, Gryan Miers, Anthony Caminiti, Jhye Clark
932. Mitchell Edwards, Mark O'Connor, Callum Wilkie, Jhye Clark
933. Zach Guthrie, Oliver Dempsey, Patrick Dangerfield, James Worpel
934. Rowan Marshall, Liam Ryan, Marcus Windhager, Shannon Neale
935. Mitch Owens, Sam De Koning, Oliver Dempsey, Bailey Smith
936. Nasiah Wanganeen-Milera, Zach Guthrie, Shaun Mannagh, Jack Henry
937. Mitch Owens, Mark O'Connor, Bradley Hill, Jack Silvagni
938. Max Holmes, Tom Stewart, Darcy Wilson, Bradley Hill
939. Sam De Koning, Mark O'Connor, Oliver Dempsey, Liam O'Connell
940. Liam Ryan, Liam Stocker, Jay Polkinghorne, Jack Silvagni
941. Mitchell Edwards, Rowan Marshall, Cooper Sharman, Anthony Caminiti
942. Jack Higgins, Patrick Dangerfield, Hunter Clark, Mattaes Phillipou
943. Zach Guthrie, Ryan Byrnes, Hunter Clark, James Worpel
944. Sam De Koning, Bailey Smith, Ryan Byrnes, Liam Henry
945. Rowan Marshall, Max Holmes, Hugo Garcia, Darcy Wilson
946. Hugo Garcia, Marcus Windhager, Jay Polkinghorne, Mattaes Phillipou
947. Lawson Humphries, Jack Higgins, Darcy Wilson, Gryan Miers
948. Connor O'Sullivan, Bailey Smith, Mattaes Phillipou, Campbell Lake
949. Mark O'Connor, Shaun Mannagh, Callum Wilkie, Tobie Travaglia
950. Mason Wood, Liam Stocker, Patrick Dangerfield, Jhye Clark
951. Mitchell Edwards, Bradley Hill, Anthony Caminiti, Jhye Clark
952. Oisin Mullin, Mitch Owens, Patrick Dangerfield, Callum Wilkie
953. Nasiah Wanganeen-Milera, Oliver Wiltshire, Hunter Clark, Oliver Henry
954. Oliver Dempsey, Darcy Wilson, Bradley Hill, Campbell Lake
955. Max Holmes, Max Hall, Mark O'Connor, James Worpel
956. Tom Stewart, Max Hall, Mark O'Connor, Jack Henry
957. Mason Wood, Oliver Wiltshire, Shaun Mannagh, Brad Close
958. Max Hall, Jack Silvagni, Jhye Clark, Liam Henry
959. Max Holmes, Connor O'Sullivan, Shaun Mannagh, Mattaes Phillipou
960. Mitchell Edwards, Sam De Koning, Callum Wilkie, Jay Polkinghorne
961. Liam Stocker, Patrick Dangerfield, Jay Polkinghorne, Mattaes Phillipou
962. Nasiah Wanganeen-Milera, Mitch Owens, Sam De Koning, Zach Guthrie
963. Hugo Garcia, Tom Stewart, Sam De Koning, Jack Henry
964. Mitch Owens, Connor O'Sullivan, Brad Close, Mattaes Phillipou
965. Oliver Dempsey, Ryan Byrnes, Anthony Caminiti, Liam Henry
966. Mitchell Edwards, Nasiah Wanganeen-Milera, Mitch Owens, Darcy Wilson
967. Oliver Dempsey, Liam Stocker, Jack Silvagni, Liam Henry
968. Sam De Koning, Lawson Humphries, Gryan Miers, Tobie Travaglia
969. Rowan Marshall, Oliver Dempsey, Callum Wilkie, Tobie Travaglia
970. Max Holmes, Nasiah Wanganeen-Milera, Brad Close, Patrick Dangerfield
971. Zach Guthrie, Ryan Byrnes, Liam Stocker, Hunter Clark
972. Max Holmes, Mitch Owens, Zach Guthrie, Brad Close
973. Hugo Garcia, Oisin Mullin, Darcy Wilson, Oliver Henry
974. Mark O'Connor, Shaun Mannagh, Anthony Caminiti, Shannon Neale
975. Tom Stewart, Liam Ryan, Oliver Dempsey, Shannon Neale
976. Liam Ryan, Bailey Smith, Shannon Neale, Liam Henry
977. Nasiah Wanganeen-Milera, Jhye Clark, Tobie Travaglia, Hunter Clark
978. Sam De Koning, Oliver Wiltshire, Bradley Hill, Patrick Dangerfield
979. Max Hall, Brad Close, Jay Polkinghorne, James Worpel
980. Max Hall, Jack Higgins, Liam Stocker, Hunter Clark
981. Nasiah Wanganeen-Milera, Connor O'Sullivan, Bradley Hill, Callum Wilkie
982. Zach Guthrie, Bailey Smith, Gryan Miers, Jay Polkinghorne
983. Oliver Dempsey, Shaun Mannagh, Liam Stocker, Mattaes Phillipou
984. Max Holmes, Oliver Wiltshire, Shannon Neale, Tobie Travaglia
985. Cooper Sharman, Lawson Humphries, Callum Wilkie, James Worpel
986. Hugo Garcia, Ryan Byrnes, Brad Close, Jay Polkinghorne
987. Gryan Miers, Tobie Travaglia, Hunter Clark, James Worpel
988. Liam Ryan, Bailey Smith, Darcy Wilson, Bradley Hill
989. Max Holmes, Lawson Humphries, Liam O'Connell, Jay Polkinghorne
990. Rowan Marshall, Mitch Owens, Connor O'Sullivan, Mark O'Connor
991. Tom Stewart, Mitch Owens, Shannon Neale, Jack Henry
992. Sam De Koning, Marcus Windhager, Tom Atkins, James Worpel
993. Mitch Owens, Callum Wilkie, Jack Silvagni, Tobie Travaglia
994. Liam Ryan, Liam O'Connell, Shannon Neale, Oliver Henry
995. Nasiah Wanganeen-Milera, Darcy Wilson, Gryan Miers, Tom Atkins
996. Mitchell Edwards, Rowan Marshall, Oliver Wiltshire, Ryan Byrnes
997. Tom Stewart, Sam De Koning, Darcy Wilson, Shannon Neale
998. Tom Stewart, Liam O'Connell, Callum Wilkie, Jack Henry
999. Oliver Wiltshire, Patrick Dangerfield, James Worpel, Mattaes Phillipou
1000. Marcus Windhager, Patrick Dangerfield, Shannon Neale, Mattaes Phillipou
