1. Isaac Heeney | Daniel Curtin | William Edwards | Braeden Campbell
796. Isaac Heeney | Darcy Fogarty | Brayden Cook | Zac Taylor
797. Harry Cunningham | Matt Roberts | Tom Papley | Riley Bice
798. Lachlan McAndrew | Tom Papley | Hayden McLean | Ben Keays
799. Brodie Grundy | Chad Warner | Jai Serong | Charlie Curnow
800. Jai Serong | Braeden Campbell | Logan McDonald | James Peatling
801. Callum Mills | Jake Soligo | Riley Thilthorpe | Zac Taylor
802. Nick Blakey | Josh Rachele | Tom Papley | Mark Keane
803. Nick Blakey | Hugo Hall-Kahan | Jake Lloyd | James Peatling
804. Jake Soligo | James Jordon | Logan McDonald | James Peatling
805. William Edwards | Braeden Campbell | Zac Taylor | Logan McDonald
806. Sam Berry | Matt Roberts | Malcolm Rosas | Luke Nankervis
807. Brodie Grundy | Josh Worrell | Riley Bice | Logan McDonald
808. Daniel Curtin | Dane Rampe | Wayne Milera | Luke Nankervis
809. Nick Blakey | Jordan Dawson | James Jordon | Mark Keane
810. Isaac Heeney | Callum Mills | William Edwards | Jai Serong
811. Lachlan McAndrew | Daniel Curtin | Riley Thilthorpe | Wayne Milera
812. Darcy Fogarty | Dane Rampe | Errol Gulden | Luke Nankervis
813. Harry Cunningham | Errol Gulden | James Jordon | Malcolm Rosas
814. Lachlan McAndrew | Tom McCartin | Hugo Hall-Kahan | Max Michalanney
815. Isaac Cumming | Jake Lloyd | Wayne Milera | Angus Sheldrick
816. Brodie Grundy | Mark Keane | Zac Taylor | Malcolm Rosas
817. Isaac Heeney | James Peatling | Malcolm Rosas | Luke Nankervis
818. Isaac Heeney | Brayden Cook | Charlie Curnow | Max Michalanney
819. Errol Gulden | Josh Worrell | Toby Murray | Angus Sheldrick
820. Callum Mills | Jake Lloyd | Josh Worrell | Riley Bice
821. Lachlan McAndrew | Nick Blakey | Josh Worrell | Ben Keays
822. Daniel Curtin | Darcy Fogarty | James Rowbottom | Josh Worrell
823. Isaac Heeney | William Edwards | Isaac Cumming | James Borlase
824. Errol Gulden | Jordan Dawson | Wayne Milera | Tom Papley
825. Darcy Fogarty | Hugo Hall-Kahan | James Rowbottom | Brayden Cook
826. James Rowbottom | Charlie Curnow | James Peatling | Malcolm Rosas
827. James Jordon | Wayne Milera | Tom Papley | Braeden Campbell
828. Charlie Curnow | Ben Keays | Logan McDonald | Angus Sheldrick
829. Chad Warner | Errol Gulden | Josh Worrell | Brayden Cook
830. Riley Thilthorpe | Jai Serong | Josh Worrell | Ben Keays
831. Alex Neal-Bullen | Harry Cunningham | Max Michalanney | Logan McDonald
832. Dane Rampe | Josh Rachele | Tom Papley | Luke Nankervis
833. Jake Soligo | Josh Worrell | Max Michalanney | Zac Taylor
834. Callum Mills | Matt Roberts | James Borlase | Toby Murray
835. Jordan Dawson | Braeden Campbell | Zac Taylor | Malcolm Rosas
836. Jake Soligo | Josh Rachele | Errol Gulden | Ben Keays
837. Callum Mills | Wayne Milera | James Borlase | Riley Bice
838. Jai Serong | James Jordon | Josh Worrell | Zac Taylor
839. James Borlase | Ben Keays | Malcolm Rosas | Luke Nankervis
840. Lachlan McAndrew | Sam Berry | Wayne Milera | James Borlase
841. Wayne Milera | Hayden McLean | Braeden Campbell | Zac Taylor
842. Lachlan McAndrew | James Jordon | Hayden McLean | Max Michalanney
843. Chad Warner | Alex Neal-Bullen | Jai Serong | Toby Murray
844. Chad Warner | Darcy Fogarty | Mark Keane | Zac Taylor
845. Daniel Curtin | Jai Serong | Tom Papley | Charlie Curnow
846. Lachlan McAndrew | Jake Soligo | Wayne Milera | Charlie Curnow
847. Sam Berry | Daniel Curtin | Jake Lloyd | Hayden McLean
848. Daniel Curtin | William Edwards | Harry Cunningham | Charlie Curnow
849. Sam Berry | Dane Rampe | Hugo Hall-Kahan | Angus Sheldrick
850. Matt Roberts | Wayne Milera | Tom Papley | Max Michalanney
851. Lachlan McAndrew | Alex Neal-Bullen | Darcy Fogarty | James Jordon
852. Sam Berry | Daniel Curtin | Errol Gulden | Tom Papley
853. Brodie Grundy | Lachlan McAndrew | Hugo Hall-Kahan | Hayden McLean
854. Darcy Fogarty | Riley Thilthorpe | Hayden McLean | James Peatling
855. Dane Rampe | Josh Rachele | Tom Papley | Angus Sheldrick
856. Hugo Hall-Kahan | James Borlase | Riley Bice | Toby Murray
857. Nick Blakey | Riley Thilthorpe | Izak Rankine | Ben Keays
858. Callum Mills | Harry Cunningham | Hayden McLean | Riley Bice
859. Brodie Grundy | Dane Rampe | James Rowbottom | Zac Taylor
860. Chad Warner | Jake Lloyd | Charlie Curnow | Angus Sheldrick
861. Callum Mills | Nick Blakey | Josh Rachele | Charlie Curnow
862. Callum Mills | Darcy Fogarty | Isaac Cumming | Luke Nankervis
863. Dane Rampe | Matt Roberts | Jai Serong | Wayne Milera
864. Lachlan McAndrew | William Edwards | Errol Gulden | Hayden McLean
865. Chad Warner | Josh Worrell | Riley Bice | Ben Keays
866. Daniel Curtin | Jai Serong | Josh Worrell | Braeden Campbell
867. Hugo Hall-Kahan | Jake Lloyd | Brayden Cook | Luke Nankervis
868. Chad Warner | Daniel Curtin | James Rowbottom | Zac Taylor
869. Jake Soligo | Nick Blakey | Izak Rankine | Jordan Dawson
870. Isaac Heeney | Callum Mills | Dane Rampe | Jake Lloyd
871. Matt Roberts | Errol Gulden | Isaac Cumming | Logan McDonald
872. Chad Warner | Matt Roberts | James Borlase | James Peatling
873. Isaac Heeney | Josh Worrell | Riley Bice | James Peatling
874. Daniel Curtin | Isaac Cumming | Josh Worrell | Malcolm Rosas
875. Isaac Heeney | Jai Serong | James Rowbottom | Josh Worrell
876. Lachlan McAndrew | William Edwards | Isaac Cumming | James Peatling
877. Lachlan McAndrew | Sam Berry | Jai Serong | Jake Lloyd
878. Sam Berry | Alex Neal-Bullen | Darcy Fogarty | Isaac Cumming
879. Callum Mills | Hayden McLean | Toby Murray | Angus Sheldrick
880. James Jordon | Jake Lloyd | Max Michalanney | Zac Taylor
881. Jai Serong | Jake Lloyd | James Rowbottom | Riley Bice
882. Callum Mills | Nick Blakey | Jai Serong | Brayden Cook
883. Jake Soligo | Hugo Hall-Kahan | Josh Worrell | James Borlase
884. Isaac Heeney | Alex Neal-Bullen | Riley Bice | Luke Nankervis
885. Nick Blakey | Josh Rachele | Isaac Cumming | Hugo Hall-Kahan
886. Callum Mills | Jake Lloyd | Hayden McLean | Luke Nankervis
887. Darcy Fogarty | Nick Blakey | Errol Gulden | Isaac Cumming
888. Daniel Curtin | Charlie Curnow | James Borlase | Ben Keays
889. Harry Cunningham | Tom Papley | Max Michalanney | Angus Sheldrick
890. Izak Rankine | Jake Lloyd | Zac Taylor | James Peatling
891. Harry Cunningham | Isaac Cumming | Hugo Hall-Kahan | James Rowbottom
892. Jake Soligo | Isaac Cumming | Ben Keays | Malcolm Rosas
893. Lachlan McAndrew | Jake Soligo | Matt Roberts | James Borlase
894. James Jordon | Charlie Curnow | James Borlase | Riley Bice
895. Brodie Grundy | Riley Thilthorpe | Hayden McLean | Ben Keays
896. Jake Soligo | Izak Rankine | Isaac Cumming | Angus Sheldrick
897. William Edwards | Harry Cunningham | Izak Rankine | James Peatling
898. Jake Lloyd | Ben Keays | Braeden Campbell | Angus Sheldrick
899. Daniel Curtin | Jake Soligo | James Rowbottom | Braeden Campbell
900. Brodie Grundy | Alex Neal-Bullen | Jordan Dawson | Brayden Cook
901. Lachlan McAndrew | Izak Rankine | James Jordon | Braeden Campbell
902. Chad Warner | Jordan Dawson | Brayden Cook | Max Michalanney
903. Isaac Cumming | Jordan Dawson | Angus Sheldrick | Luke Nankervis
904. Jordan Dawson | Charlie Curnow | James Borlase | Luke Nankervis
905. Brodie Grundy | William Edwards | Jai Serong | Tom Papley
906. Daniel Curtin | Jake Lloyd | Angus Sheldrick | Malcolm Rosas
907. Isaac Cumming | James Jordon | Wayne Milera | Brayden Cook
908. Brodie Grundy | Izak Rankine | Matt Roberts | Brayden Cook
909. Sam Berry | Nick Blakey | Matt Roberts | Wayne Milera
910. Nick Blakey | Riley Thilthorpe | Hugo Hall-Kahan | Malcolm Rosas
911. Riley Thilthorpe | Izak Rankine | Tom Papley | Riley Bice
912. Jake Soligo | Wayne Milera | James Borlase | Mark Keane
913. Callum Mills | Tom McCartin | Hugo Hall-Kahan | Tom Papley
914. Sam Berry | Riley Thilthorpe | Braeden Campbell | Angus Sheldrick
915. Jordan Dawson | Wayne Milera | Max Michalanney | Braeden Campbell
916. Jake Soligo | Jai Serong | Hugo Hall-Kahan | Hayden McLean
917. Harry Cunningham | Errol Gulden | James Jordon | Braeden Campbell
918. Lachlan McAndrew | Izak Rankine | Hugo Hall-Kahan | Ben Keays
919. Nick Blakey | Riley Thilthorpe | Matt Roberts | Riley Bice
920. Tom McCartin | Dane Rampe | Harry Cunningham | Angus Sheldrick
921. Darcy Fogarty | Riley Thilthorpe | Brayden Cook | Toby Murray
922. William Edwards | Jordan Dawson | James Jordon | Charlie Curnow
923. William Edwards | Nick Blakey | Hugo Hall-Kahan | Tom Papley
924. Lachlan McAndrew | Logan McDonald | Angus Sheldrick | Luke Nankervis
925. Sam Berry | William Edwards | Alex Neal-Bullen | Riley Thilthorpe
926. William Edwards | Errol Gulden | Jai Serong | Hayden McLean
927. Darcy Fogarty | Errol Gulden | Jai Serong | Charlie Curnow
928. Harry Cunningham | Jordan Dawson | James Borlase | Riley Bice
929. Callum Mills | Nick Blakey | Riley Thilthorpe | Hayden McLean
930. Darcy Fogarty | Dane Rampe | Izak Rankine | Charlie Curnow
931. Matt Roberts | James Jordon | Charlie Curnow | Riley Bice
932. Brodie Grundy | Harry Cunningham | Max Michalanney | Riley Bice
933. Dane Rampe | Matt Roberts | Tom Papley | Logan McDonald
934. Lachlan McAndrew | Josh Rachele | Isaac Cumming | Hayden McLean
935. William Edwards | Darcy Fogarty | Matt Roberts | Jai Serong
936. Daniel Curtin | Dane Rampe | James Rowbottom | Angus Sheldrick
937. William Edwards | Harry Cunningham | Brayden Cook | Mark Keane
938. Isaac Heeney | Callum Mills | Hugo Hall-Kahan | Brayden Cook
939. Darcy Fogarty | Harry Cunningham | Matt Roberts | Errol Gulden
940. Josh Rachele | Wayne Milera | James Borlase | Mark Keane
941. Brodie Grundy | Lachlan McAndrew | Alex Neal-Bullen | Charlie Curnow
942. Izak Rankine | Tom Papley | Zac Taylor | James Peatling
943. Dane Rampe | Jake Lloyd | Zac Taylor | Logan McDonald
944. Darcy Fogarty | Jai Serong | Jake Lloyd | Toby Murray
945. Lachlan McAndrew | Isaac Heeney | Sam Berry | Hugo Hall-Kahan
946. Sam Berry | Isaac Cumming | James Borlase | James Peatling
947. Riley Thilthorpe | Izak Rankine | Hugo Hall-Kahan | James Jordon
948. Tom McCartin | Jai Serong | James Peatling | Luke Nankervis
949. Harry Cunningham | James Rowbottom | Max Michalanney | Ben Keays
950. Jake Soligo | Wayne Milera | Tom Papley | Riley Bice
951. Brodie Grundy | Brayden Cook | Charlie Curnow | Riley Bice
952. Chad Warner | William Edwards | Tom Papley | Max Michalanney
953. Daniel Curtin | Jordan Dawson | Zac Taylor | Malcolm Rosas
954. Matt Roberts | Hugo Hall-Kahan | Brayden Cook | Luke Nankervis
955. Isaac Heeney | Nick Blakey | Harry Cunningham | Logan McDonald
956. Callum Mills | Nick Blakey | Harry Cunningham | Angus Sheldrick
957. Jake Soligo | Jordan Dawson | James Rowbottom | Josh Worrell
958. Nick Blakey | Mark Keane | Riley Bice | Toby Murray
959. Isaac Heeney | Tom McCartin | James Rowbottom | James Peatling
960. Brodie Grundy | Darcy Fogarty | Max Michalanney | James Borlase
961. Wayne Milera | Tom Papley | James Borlase | James Peatling
962. Daniel Curtin | William Edwards | Darcy Fogarty | Dane Rampe
963. Sam Berry | Callum Mills | Darcy Fogarty | Angus Sheldrick
964. William Edwards | Tom McCartin | Josh Worrell | James Peatling
965. Matt Roberts | Jake Lloyd | Charlie Curnow | Toby Murray
966. Brodie Grundy | Daniel Curtin | William Edwards | Hugo Hall-Kahan
967. Matt Roberts | Wayne Milera | Mark Keane | Toby Murray
968. Darcy Fogarty | Riley Thilthorpe | James Jordon | Ben Keays
969. Lachlan McAndrew | Matt Roberts | Max Michalanney | Ben Keays
970. Isaac Heeney | Daniel Curtin | Josh Worrell | Tom Papley
971. Dane Rampe | Jake Lloyd | Wayne Milera | Zac Taylor
972. Isaac Heeney | William Edwards | Dane Rampe | Josh Worrell
973. Sam Berry | Chad Warner | Hugo Hall-Kahan | Malcolm Rosas
974. Harry Cunningham | James Rowbottom | Charlie Curnow | Hayden McLean
975. Callum Mills | Josh Rachele | Matt Roberts | Hayden McLean
976. Josh Rachele | Jai Serong | Hayden McLean | Toby Murray
977. Daniel Curtin | Riley Bice | Ben Keays | Zac Taylor
978. Darcy Fogarty | Jordan Dawson | Brayden Cook | Tom Papley
979. Nick Blakey | Josh Worrell | James Borlase | Logan McDonald
980. Nick Blakey | Izak Rankine | Wayne Milera | Zac Taylor
981. Daniel Curtin | Tom McCartin | Brayden Cook | Max Michalanney
982. Dane Rampe | Jai Serong | James Jordon | James Borlase
983. Matt Roberts | James Rowbottom | Wayne Milera | James Peatling
984. Isaac Heeney | Jordan Dawson | Hayden McLean | Ben Keays
985. Alex Neal-Bullen | Riley Thilthorpe | Max Michalanney | Logan McDonald
986. Sam Berry | Jake Lloyd | Josh Worrell | James Borlase
987. James Jordon | Ben Keays | Zac Taylor | Logan McDonald
988. Josh Rachele | Jai Serong | Hugo Hall-Kahan | Brayden Cook
989. Isaac Heeney | Riley Thilthorpe | Errol Gulden | James Borlase
990. Lachlan McAndrew | William Edwards | Tom McCartin | Harry Cunningham
991. Callum Mills | William Edwards | Hayden McLean | Angus Sheldrick
992. Darcy Fogarty | Isaac Cumming | Braeden Campbell | Logan McDonald
993. William Edwards | Max Michalanney | Mark Keane | Ben Keays
994. Josh Rachele | Errol Gulden | Hayden McLean | Malcolm Rosas
995. Daniel Curtin | Hugo Hall-Kahan | James Jordon | Braeden Campbell
996. Brodie Grundy | Lachlan McAndrew | Jordan Dawson | Jake Lloyd
997. Callum Mills | Darcy Fogarty | Hugo Hall-Kahan | Hayden McLean
998. Callum Mills | Errol Gulden | Max Michalanney | Angus Sheldrick
999. Jordan Dawson | Tom Papley | Logan McDonald | James Peatling
1000. Isaac Cumming | Tom Papley | Hayden McLean | James Peatling
